vuln_id,cve_id,asset_id,scan_date,cvss_v3,cvss_vector,exploit_available,evidence_links,remediation_status
V001,CVE-2025-1001,A001,2025-08-15,7.5,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,TRUE,http://example.com/exploit,open
V002,CVE-2025-1002,A002,2025-09-10,8.2,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,FALSE,http://example.com/exploit,mitigated
V003,CVE-2025-1003,A003,2025-09-05,6.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,TRUE,http://example.com/exploit,open
V004,CVE-2025-1004,A004,2025-08-20,9,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,TRUE,http://example.com/exploit,open
V005,CVE-2025-1005,A005,2025-09-01,5.6,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,FALSE,http://example.com/exploit,wontfix
V006,CVE-2025-1006,A006,2025-09-25,7.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,TRUE,http://example.com/exploit,open
V007,CVE-2025-1007,A007,2025-09-12,9.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,TRUE,http://example.com/exploit,open
V008,CVE-2025-1008,A008,2025-09-20,4.3,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,FALSE,http://example.com/exploit,mitigated
V009,CVE-2025-1009,A009,2025-08-28,6.9,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,TRUE,http://example.com/exploit,open
V010,CVE-2025-1010,A010,2025-09-14,8.7,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,TRUE,http://example.com/exploit,open